Dispositivo;Ruta;Fecha;0-FUNDEPORTE SALIDA_Hora planificada;0-FUNDEPORTE SALIDA_Hora real;0-FUNDEPORTE SALIDA_Minutos adelanto;0-FUNDEPORTE SALIDA_Minutos atraso;1-TORNO_Hora planificada;1-TORNO_Hora real;1-TORNO_Minutos adelanto;1-TORNO_Minutos atraso;2-PUENTE DE GUAJALO_Hora planificada;2-PUENTE DE GUAJALO_Hora real;2-PUENTE DE GUAJALO_Minutos adelanto;2-PUENTE DE GUAJALO_Minutos atraso;3-SAN MARTIN_Hora planificada;3-SAN MARTIN_Hora real;3-SAN MARTIN_Minutos adelanto;3-SAN MARTIN_Minutos atraso;4-AUTOPISTA RUMIÑAHUI_Hora planificada;4-AUTOPISTA RUMIÑAHUI_Hora real;4-AUTOPISTA RUMIÑAHUI_Minutos adelanto;4-AUTOPISTA RUMIÑAHUI_Minutos atraso;5-LA MARIN_Hora planificada;5-LA MARIN_Hora real;5-LA MARIN_Minutos adelanto;5-LA MARIN_Minutos atraso;6-TREBOL RETORNO_Hora planificada;6-TREBOL RETORNO_Hora real;6-TREBOL RETORNO_Minutos adelanto;6-TREBOL RETORNO_Minutos atraso;7-AUTOPISTA RETORNO_Hora planificada;7-AUTOPISTA RETORNO_Hora real;7-AUTOPISTA RETORNO_Minutos adelanto;7-AUTOPISTA RETORNO_Minutos atraso;8-ARGELIA RETORNO_Hora planificada;8-ARGELIA RETORNO_Hora real;8-ARGELIA RETORNO_Minutos adelanto;8-ARGELIA RETORNO_Minutos atraso;9-PGUAJALO RETORNO_Hora planificada;9-PGUAJALO RETORNO_Hora real;9-PGUAJALO RETORNO_Minutos adelanto;9-PGUAJALO RETORNO_Minutos atraso;10-CHFIN RETORNO_Hora planificada;10-CHFIN RETORNO_Hora real;10-CHFIN RETORNO_Minutos adelanto;10-CHFIN RETORNO_Minutos atraso;Total atrasos;Total adelantos;Multa calculada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 33;FUNDEPORTE - EDESA;16/5/2019;5:40;5:40;0;0;5:47;5:47;0;0;5:54;5:54;0;0;6:00;6:01;0;1;6:18;6:25;0;7;6:27;6:41;0;14;6:36;6:36;0;0;6:45;6:19;26;0;6:57;7:07;0;10;7:07;7:15;0;8;7:12;7:19;0;7;47;26;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 37;FUNDEPORTE - EDESA;16/5/2019;5:45;5:47;0;2;5:52;5:52;0;0;5:59;5:58;1;0;6:05;6:05;0;0;6:23;6:28;0;5;6:32;6:45;0;13;6:41;6:40;1;0;6:50;6:23;27;0;7:02;7:14;0;12;7:12;7:23;0;11;7:17;7:28;0;11;54;29;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 15;FUNDEPORTE - EDESA;16/5/2019;5:50;5:50;0;0;5:57;5:57;0;0;6:04;6:04;0;0;6:10;6:11;0;1;6:28;6:33;0;5;6:37;6:53;0;16;6:46;6:48;0;2;6:55;6:28;27;0;7:07;7:17;0;10;7:17;6:04;73;0;7:22;7:31;0;9;43;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 30;FUNDEPORTE - EDESA;16/5/2019;5:55;5:55;0;0;6:02;6:01;1;0;6:09;6:07;2;0;6:15;6:15;0;0;6:33;6:38;0;5;6:42;6:56;0;14;6:51;6:52;0;1;7:00;6:34;26;0;7:12;7:28;0;16;7:22;7:37;0;15;7:27;7:42;0;15;66;29;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 31;FUNDEPORTE - EDESA;16/5/2019;6:00;6:03;0;3;6:07;6:06;1;0;6:14;6:13;1;0;6:20;6:19;1;0;6:38;6:44;0;6;6:47;7:04;0;17;6:56;6:59;0;3;7:05;6:40;25;0;7:17;7:31;0;14;7:27;7:38;0;11;7:32;7:43;0;11;65;28;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 18;FUNDEPORTE - EDESA;16/5/2019;6:04;6:08;0;4;6:11;6:11;0;0;6:18;6:16;2;0;6:24;6:24;0;0;6:42;6:48;0;6;6:51;7:07;0;16;7:00;7:02;0;2;7:09;6:44;25;0;7:21;7:34;0;13;7:31;7:42;0;11;7:36;7:47;0;11;63;27;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 39;FUNDEPORTE - EDESA;16/5/2019;6:08;6:08;0;0;6:15;6:15;0;0;6:22;6:21;1;0;6:28;6:28;0;0;6:46;6:52;0;6;6:55;7:10;0;15;7:04;7:05;0;1;7:13;6:48;25;0;7:25;7:38;0;13;7:35;7:45;0;10;7:40;7:49;0;9;54;26;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 28;FUNDEPORTE - EDESA;16/5/2019;6:12;6:12;0;0;6:19;6:19;0;0;6:26;6:25;1;0;6:32;6:31;1;0;;;;;6:59;7:13;0;14;7:08;7:09;0;1;7:17;6:51;26;0;7:29;7:45;0;16;7:39;6:25;74;0;7:44;7:59;0;15;46;102;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 12;FUNDEPORTE - EDESA;16/5/2019;6:16;6:16;0;0;6:23;6:23;0;0;6:30;6:29;1;0;6:36;6:36;0;0;6:54;6:58;0;4;7:03;7:13;0;10;7:12;7:08;4;0;7:21;6:54;27;0;7:33;7:41;0;8;7:43;6:31;72;0;7:48;7:55;0;7;29;104;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 17;FUNDEPORTE - EDESA;16/5/2019;6:20;6:20;0;0;6:27;6:26;1;0;6:34;6:34;0;0;6:40;6:41;0;1;6:58;7:04;0;6;7:07;7:21;0;14;7:16;7:17;0;1;7:25;7:00;25;0;7:37;7:53;0;16;7:47;6:35;72;0;7:52;8:03;0;11;49;98;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
