Dispositivo;Ruta;Fecha;0-FUNDEPORTE SALIDA_Hora planificada;0-FUNDEPORTE SALIDA_Hora real;0-FUNDEPORTE SALIDA_Minutos adelanto;0-FUNDEPORTE SALIDA_Minutos atraso;1-TORNO_Hora planificada;1-TORNO_Hora real;1-TORNO_Minutos adelanto;1-TORNO_Minutos atraso;2-PUENTE DE GUAJALO_Hora planificada;2-PUENTE DE GUAJALO_Hora real;2-PUENTE DE GUAJALO_Minutos adelanto;2-PUENTE DE GUAJALO_Minutos atraso;3-SAN MARTIN_Hora planificada;3-SAN MARTIN_Hora real;3-SAN MARTIN_Minutos adelanto;3-SAN MARTIN_Minutos atraso;4-AUTOPISTA RUMIÑAHUI_Hora planificada;4-AUTOPISTA RUMIÑAHUI_Hora real;4-AUTOPISTA RUMIÑAHUI_Minutos adelanto;4-AUTOPISTA RUMIÑAHUI_Minutos atraso;5-LA MARIN_Hora planificada;5-LA MARIN_Hora real;5-LA MARIN_Minutos adelanto;5-LA MARIN_Minutos atraso;6-TREBOL RETORNO_Hora planificada;6-TREBOL RETORNO_Hora real;6-TREBOL RETORNO_Minutos adelanto;6-TREBOL RETORNO_Minutos atraso;7-AUTOPISTA RETORNO_Hora planificada;7-AUTOPISTA RETORNO_Hora real;7-AUTOPISTA RETORNO_Minutos adelanto;7-AUTOPISTA RETORNO_Minutos atraso;8-ARGELIA RETORNO_Hora planificada;8-ARGELIA RETORNO_Hora real;8-ARGELIA RETORNO_Minutos adelanto;8-ARGELIA RETORNO_Minutos atraso;9-PGUAJALO RETORNO_Hora planificada;9-PGUAJALO RETORNO_Hora real;9-PGUAJALO RETORNO_Minutos adelanto;9-PGUAJALO RETORNO_Minutos atraso;10-CHFIN RETORNO_Hora planificada;10-CHFIN RETORNO_Hora real;10-CHFIN RETORNO_Minutos adelanto;10-CHFIN RETORNO_Minutos atraso;Total atrasos;Total adelantos;Multa calculada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 27;FUNDEPORTE - EDESA;16/5/2019;6:24;6:24;0;0;6:31;6:31;0;0;6:38;6:37;1;0;6:44;6:44;0;0;7:02;7:03;0;1;7:11;7:19;0;8;7:20;7:15;5;0;7:29;7:00;29;0;7:41;7:47;0;6;7:51;6:38;73;0;7:56;8:02;0;6;21;108;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 26;FUNDEPORTE - EDESA;16/5/2019;6:28;6:28;0;0;6:35;6:35;0;0;6:42;6:42;0;0;6:48;6:48;0;0;7:06;7:12;0;6;7:15;7:29;0;14;7:24;7:24;0;0;7:33;7:08;25;0;7:45;7:56;0;11;7:55;6:42;73;0;8:00;8:09;0;9;40;98;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 20;FUNDEPORTE - EDESA;16/5/2019;6:32;6:35;0;3;6:39;6:38;1;0;6:46;6:47;0;1;6:52;6:54;0;2;7:10;7:15;0;5;7:19;7:31;0;12;7:28;7:26;2;0;7:37;7:10;27;0;7:49;8:01;0;12;7:59;6:47;72;0;8:04;8:13;0;9;44;102;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 25;FUNDEPORTE - EDESA;16/5/2019;6:36;6:40;0;4;6:43;6:43;0;0;6:50;6:51;0;1;6:56;6:56;0;0;7:14;7:19;0;5;7:23;7:36;0;13;7:32;7:32;0;0;7:41;7:16;25;0;7:53;8:06;0;13;8:03;6:52;71;0;8:08;8:19;0;11;47;96;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 22;FUNDEPORTE - EDESA;16/5/2019;6:40;6:40;0;0;6:47;6:47;0;0;6:54;6:54;0;0;7:00;7:02;0;2;7:18;7:28;0;10;7:27;7:46;0;19;7:36;7:41;0;5;7:45;7:25;20;0;7:57;8:11;0;14;8:07;8:16;0;9;8:12;8:20;0;8;67;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 29;FUNDEPORTE - EDESA;16/5/2019;6:44;6:48;0;4;6:51;6:51;0;0;6:58;6:59;0;1;7:04;7:06;0;2;7:22;7:31;0;9;7:31;7:46;0;15;7:40;7:43;0;3;7:49;7:28;21;0;8:01;8:10;0;9;8:11;7:00;71;0;8:16;8:21;0;5;48;92;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 19;FUNDEPORTE - EDESA;16/5/2019;6:48;6:48;0;0;6:55;6:56;0;1;7:02;7:03;0;1;7:08;7:08;0;0;7:26;7:37;0;11;7:35;7:57;0;22;7:44;7:53;0;9;7:53;7:34;19;0;8:05;8:29;0;24;8:15;8:37;0;22;8:20;8:41;0;21;111;19;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 35;FUNDEPORTE - EDESA;16/5/2019;6:52;6:53;0;1;6:59;6:56;3;0;7:06;7:03;3;0;7:12;7:08;4;0;7:30;7:31;0;1;7:39;7:47;0;8;7:48;7:42;6;0;7:57;7:28;29;0;8:09;8:26;0;17;8:19;8:36;0;17;8:24;8:41;0;17;61;45;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 16;FUNDEPORTE - EDESA;16/5/2019;6:56;6:59;0;3;7:03;7:02;1;0;7:10;7:09;1;0;7:16;7:15;1;0;7:34;7:45;0;11;7:43;8:06;0;23;7:52;8:01;0;9;8:01;7:41;20;0;8:13;8:38;0;25;8:23;8:45;0;22;8:28;8:50;0;22;115;23;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 38;FUNDEPORTE - EDESA;16/5/2019;7:00;7:00;0;0;7:07;7:07;0;0;7:14;7:14;0;0;7:20;7:20;0;0;7:38;7:51;0;13;7:47;8:14;0;27;7:56;8:09;0;13;8:05;7:47;18;0;8:17;8:45;0;28;8:27;7:15;72;0;8:32;8:57;0;25;106;90;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 14;FUNDEPORTE - EDESA;16/5/2019;7:04;7:04;0;0;7:11;7:10;1;0;7:18;7:17;1;0;7:24;7:24;0;0;7:42;7:51;0;9;7:51;8:10;0;19;8:00;8:06;0;6;8:09;7:48;21;0;8:21;8:42;0;21;8:31;7:18;73;0;8:36;8:54;0;18;73;96;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 34;FUNDEPORTE - EDESA;16/5/2019;7:08;7:12;0;4;7:15;7:15;0;0;7:22;7:21;1;0;7:28;7:28;0;0;7:46;7:54;0;8;7:55;8:14;0;19;8:04;8:10;0;6;8:13;7:50;23;0;8:25;8:49;0;24;8:35;8:57;0;22;8:40;9:02;0;22;105;24;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 36;FUNDEPORTE - EDESA;16/5/2019;7:12;7:12;0;0;7:19;7:18;1;0;7:26;7:24;2;0;7:32;7:30;2;0;7:50;7:58;0;8;7:59;8:19;0;20;8:08;8:14;0;6;8:17;7:54;23;0;8:29;8:51;0;22;8:39;8:58;0;19;8:44;9:03;0;19;94;28;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 40;FUNDEPORTE - EDESA;16/5/2019;7:17;7:20;0;3;7:24;7:23;1;0;7:31;7:29;2;0;7:37;7:37;0;0;7:55;8:03;0;8;8:04;8:23;0;19;8:13;8:18;0;5;8:22;7:59;23;0;8:34;8:50;0;16;8:44;7:30;74;0;8:49;9:04;0;15;66;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 21;FUNDEPORTE - EDESA;16/5/2019;7:22;7:24;0;2;7:29;7:29;0;0;7:36;7:36;0;0;7:42;7:41;1;0;8:00;8:08;0;8;8:09;8:26;0;17;8:18;8:22;0;4;8:27;8:04;23;0;8:39;8:57;0;18;8:49;7:36;73;0;8:54;9:11;0;17;66;97;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 23;FUNDEPORTE - EDESA;16/5/2019;7:27;7:28;0;1;7:34;7:33;1;0;7:41;7:39;2;0;7:47;7:46;1;0;8:05;8:13;0;8;8:14;8:28;0;14;8:23;8:25;0;2;8:32;8:09;23;0;8:44;9:00;0;16;8:54;7:41;73;0;8:59;9:12;0;13;54;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 41;FUNDEPORTE - EDESA;16/5/2019;7:32;7:33;0;1;7:39;7:39;0;0;7:46;7:46;0;0;7:52;7:52;0;0;8:10;8:16;0;6;8:19;8:33;0;14;8:28;8:28;0;0;8:37;8:12;25;0;8:49;9:02;0;13;8:59;9:09;0;10;9:04;9:14;0;10;54;25;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 33;FUNDEPORTE - EDESA;16/5/2019;7:37;7:38;0;1;7:44;7:44;0;0;7:51;7:51;0;0;7:57;7:58;0;1;8:15;8:19;0;4;8:24;8:37;0;13;8:33;8:33;0;0;8:42;8:15;27;0;8:54;9:07;0;13;9:04;7:52;72;0;9:09;9:17;0;8;40;99;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 37;FUNDEPORTE - EDESA;16/5/2019;7:42;7:46;0;4;7:49;7:48;1;0;7:56;7:57;0;1;8:02;8:03;0;1;8:20;8:25;0;5;8:29;8:45;0;16;8:38;8:41;0;3;8:47;8:22;25;0;8:59;9:13;0;14;9:09;9:20;0;11;9:14;9:24;0;10;65;26;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 15;FUNDEPORTE - EDESA;16/5/2019;7:47;7:48;0;1;7:54;7:56;0;2;8:01;8:03;0;2;8:07;8:09;0;2;8:25;8:27;0;2;8:34;8:45;0;11;8:43;8:41;2;0;8:52;8:24;28;0;9:04;9:06;0;2;9:14;8:03;71;0;9:19;9:21;0;2;24;101;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 30;FUNDEPORTE - EDESA;16/5/2019;7:53;7:53;0;0;8:00;7:59;1;0;8:07;8:05;2;0;8:13;8:12;1;0;8:31;8:32;0;1;8:40;8:50;0;10;8:49;8:46;3;0;8:58;8:30;28;0;9:10;9:17;0;7;9:20;9:25;0;5;9:25;9:28;0;3;26;35;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 31;FUNDEPORTE - EDESA;16/5/2019;7:57;7:57;0;0;8:04;8:03;1;0;8:11;8:09;2;0;8:17;8:17;0;0;8:35;8:36;0;1;8:44;8:58;0;14;8:53;8:52;1;0;9:02;8:34;28;0;9:14;9:25;0;11;9:24;9:32;0;8;9:29;9:38;0;9;43;32;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 18;FUNDEPORTE - EDESA;16/5/2019;8:02;8:06;0;4;8:09;8:09;0;0;8:16;8:17;0;1;8:22;8:22;0;0;8:40;8:41;0;1;8:49;9:01;0;12;8:58;8:56;2;0;9:07;8:39;28;0;9:19;9:25;0;6;9:29;8:17;72;0;9:34;9:38;0;4;28;102;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 39;FUNDEPORTE - EDESA;16/5/2019;8:07;8:07;0;0;8:14;8:14;0;0;8:21;8:22;0;1;8:27;8:29;0;2;8:45;8:45;0;0;8:54;9:06;0;12;9:03;8:59;4;0;9:12;8:42;30;0;9:24;9:28;0;4;9:34;9:34;0;0;9:39;9:39;0;0;19;34;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 12;FUNDEPORTE - EDESA;16/5/2019;8:12;8:12;0;0;8:19;8:19;0;0;8:26;8:26;0;0;8:32;8:33;0;1;8:50;8:50;0;0;8:59;9:09;0;10;9:08;9:03;5;0;9:17;8:48;29;0;9:29;9:31;0;2;9:39;9:36;3;0;9:44;9:41;3;0;13;40;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 27;FUNDEPORTE - EDESA;16/5/2019;8:16;8:16;0;0;8:23;8:24;0;1;8:30;8:30;0;0;8:36;8:37;0;1;8:54;8:55;0;1;9:03;9:13;0;10;9:12;9:07;5;0;9:21;8:52;29;0;9:33;9:32;1;0;9:43;8:32;71;0;9:48;9:48;0;0;13;106;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 28;FUNDEPORTE - EDESA;16/5/2019;8:22;8:22;0;0;8:29;8:29;0;0;8:36;8:35;1;0;8:42;8:41;1;0;;;;;9:09;9:17;0;8;9:18;9:10;8;0;9:27;8:56;31;0;9:39;9:44;0;5;9:49;8:36;73;0;9:54;10:00;0;6;19;114;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 26;FUNDEPORTE - EDESA;16/5/2019;8:27;8:28;0;1;8:34;8:34;0;0;8:41;8:40;1;0;8:47;8:46;1;0;9:05;9:01;4;0;9:14;9:19;0;5;9:23;9:13;10;0;9:32;8:59;33;0;9:44;9:40;4;0;9:54;8:41;73;0;9:59;9:55;4;0;6;130;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 17;FUNDEPORTE - EDESA;16/5/2019;8:32;8:32;0;0;8:39;8:39;0;0;8:46;8:46;0;0;8:52;8:52;0;0;9:10;9:09;1;0;9:19;9:28;0;9;9:28;9:19;9;0;9:37;9:07;30;0;9:49;9:53;0;4;9:59;10:01;0;2;10:04;10:08;0;4;19;40;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 20;FUNDEPORTE - EDESA;16/5/2019;8:37;8:37;0;0;8:44;8:44;0;0;8:51;8:50;1;0;8:57;8:56;1;0;9:15;9:15;0;0;9:24;9:33;0;9;9:33;9:25;8;0;9:42;9:12;30;0;9:54;10:00;0;6;10:04;10:09;0;5;10:09;10:15;0;6;26;40;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 22;FUNDEPORTE - EDESA;16/5/2019;8:44;8:44;0;0;8:51;8:50;1;0;8:58;8:57;1;0;9:04;9:06;0;2;9:22;9:21;1;0;9:31;9:36;0;5;9:40;9:29;11;0;9:49;9:19;30;0;10:01;10:07;0;6;10:11;10:13;0;2;10:16;10:19;0;3;18;44;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 25;FUNDEPORTE - EDESA;16/5/2019;9:01;9:04;0;3;9:08;9:05;3;0;9:15;9:11;4;0;9:21;9:17;4;0;9:39;9:36;3;0;9:48;9:50;0;2;9:57;9:45;12;0;10:06;9:32;34;0;10:18;10:20;0;2;10:28;9:11;77;0;10:33;10:35;0;2;9;137;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 35;FUNDEPORTE - EDESA;16/5/2019;9:09;9:10;0;1;9:16;9:13;3;0;9:23;9:20;3;0;9:29;9:26;3;0;9:47;9:44;3;0;9:56;9:57;0;1;10:05;9:52;13;0;10:14;9:41;33;0;10:26;10:27;0;1;10:36;10:35;1;0;10:41;10:41;0;0;3;59;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNID 19;FUNDEPORTE - EDESA;16/5/2019;9:12;9:12;0;0;9:19;9:19;0;0;9:26;9:24;2;0;9:32;9:30;2;0;9:50;9:49;1;0;9:59;10:02;0;3;10:08;9:57;11;0;10:17;9:46;31;0;10:29;10:31;0;2;10:39;10:39;0;0;10:44;10:44;0;0;5;47;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
